objectid;facilityid;legacyid;location;depthus;depthds;height;invertus;invertds;diameter;width;modifydate;material;form;pslope;adminarea;shape_len;operationalarea;owner
33859;41539-PP1;92D.15-PP1;911 DALE ST.;5.8;5;1.29999;369.67999;365.42999;15;;2001-08-02 17:05:31+00:00;CONCRETE;CIRCULAR;4.033;City;105.383104;Ellerbe Creek;CITY-ROW
33872;23886-PS2;49B.500-PS2;;;4;1.29999;;;15;;2007-11-07 17:15:38+00:00;METAL-CORRUGATED;CIRCULAR;;City;27.50346342;Sandy Creek;DOT-ROW
33873;02373-PS3;15A.104-PS3;;;5.4;1.29999;;;15;;2008-05-15 12:34:09+00:00;CONCRETE;CIRCULAR;;City;27.50290894;Third Fork Creek;CITY-ROW
33915;45393-PP1;JDP.610-PP1;2006 WOODVIEW DR;2;5.5;1.29999;327.30999;325.13;15;;2001-08-02 13:19:43+00:00;CONCRETE;CIRCULAR;12.24;City;17.82426717;Ellerbe Creek;PRIVATE
34606;45023-PP1;JDP.91-PP1;GLENDALE AV & BROOKLINE ST;2.2;3;1.29999;305.82998;304.91;15;;2001-08-02 16:06:14+00:00;CONCRETE;CIRCULAR;3.012;City;30.53051588;Ellerbe Creek;CITY-ROW
34639;10674-PS1;33B.205-PS1;;5.5;;1.29999;373.70001;;15;;2001-11-26 13:08:07+00:00;CONCRETE;CIRCULAR;;City;27.54445316;Little Lick Creek;DOT-ROW
34722;41886-PP1;94A.2270-PP1;722 SOFT TREE LANE;5.5;5.09999;1.29999;501.05999;499.36999;15;;2002-03-18 14:20:34+00:00;CONCRETE;CIRCULAR;5.081;City;33.25770888;Eno River;PRIVATE
34724;41888-PP1;94A.2272-PP1;725 SOFT TREE LANE;7.09999;7.4;1.29999;499.19;497.07;15;;2002-03-18 14:20:34+00:00;CONCRETE;CIRCULAR;2.521;City;84.08726003;Eno River;PRIVATE
34725;41889-PP1;94A.2273-PP1;COUNTRY CLUB DRIVE;6.19999;7.09999;1.29999;488.75;469.14001;15;;2002-04-03 13:15:44+00:00;CONCRETE;CIRCULAR;10.401;City;188.5400568;Eno River;CITY-ROW
34727;41940-PP1;94D.4003-PP1;824 NORTHWOOD HILLS AVE;4.09999;4.3;1.29999;352.66;349.82;15;;2002-03-18 14:04:22+00:00;CONCRETE;CIRCULAR;5.6;City;50.70492087;Eno River;CITY-ROW
34847;09403-PS2;311C.63-PS2;;;3.9;1.29999;;341.70001;15;;2009-09-03 16:50:52+00:00;CONCRETE;CIRCULAR;;City;27.5;Stirrup Iron Creek;PRIVATE
34886;12356-PS1;36C.256-PS1;;5.59999;;1.29999;244.8;;15;;2002-07-30 10:50:06+00:00;CONCRETE;CIRCULAR;;City;27.49494681;Third Fork Creek;PRIVATE
34920;41876-PP1;94A.2259-PP1;COUNTRY CLUB DRIVE @ SOFT TREE LANE;4.3;7.09999;1.29999;470.19;469.14001;15;;2002-03-18 14:20:38+00:00;CONCRETE;CIRCULAR;4.761;City;22.05908883;Eno River;PRIVATE
34950;45102-PP1;JDP.307-PP1;MIOSHA ST;4.4;4.59999;1.29999;377.69;371.76998;15;;2001-08-02 12:58:32+00:00;CONCRETE;CIRCULAR;5.079;City;116.5532771;Ellerbe Creek;PRIVATE
35026;45189-PS2;JDP.399-PS2;;6.3;;1.29999;375.70001;;15;;2001-08-02 16:54:04+00:00;CONCRETE;CIRCULAR;;City;27.49604517;Ellerbe Creek;CITY-ROW
35075;20364-PS2;45D.995-PS2;;;3.7;1.29999;;;15;;2002-07-11 12:07:46+00:00;CONCRETE;CIRCULAR;;City;27.5;Third Fork Creek;CITY-ROW
35203;44991-PP1;JDP.38-PP1;1426 MANGUM ST;5;4.59999;1.29999;353.6;352.17999;15;;2001-08-02 13:07:54+00:00;CONCRETE;CIRCULAR;1.826;City;77.77141184;Ellerbe Creek;PRIVATE
35381;45488-PP2;JDP.720-PP2;PHELPS ST & AVONDALE DR;3.2;2.59999;1.29999;346.75;344.5;15;;2001-08-02 17:10:17+00:00;CONCRETE;CIRCULAR;5.414;City;41.55714138;Ellerbe Creek;PRIVATE
35427;44180-PP1;DWC.499-PP1;Duke University East Campus;11.6;4.1;1.29999;390.031;389.656;15;;2012-01-09 17:14:08+00:00;CONCRETE;CIRCULAR;1.14948545;City;32.62329229;Ellerbe Creek;PRIVATE
35540;44034-PP1;DWC.305-PP1;NORTHGATE MALL PARKING DECK;3.9;4.8;1.29999;354.57998;353.82;15;;2001-08-02 16:45:12+00:00;CONCRETE;CIRCULAR;2.693;City;28.21263901;Ellerbe Creek;PRIVATE
35702;17928-PS1;43A.1206-PS1;;;1.89999;1.29999;;;15;;2012-08-01 19:19:39+00:00;CONCRETE;CIRCULAR;;City;27.49979818;Little Lick Creek;DOT-ROW
35705;32683-PS3;76A.1228-PS3;;;4.8;1.29999;;320;15;;2002-09-30 13:00:32+00:00;CONCRETE;CIRCULAR;;City;27.49516321;New Hope Creek;CITY-ROW
35721;24355-PS2;49B.991-PS2;;;6.3;1.29999;;;15;;2002-12-18 15:31:30+00:00;CONCRETE;CIRCULAR;;City;27.50077272;Sandy Creek;PRIVATE
35726;24003-PS3;49B.618-PS3;;;8.19999;1.29999;;;15;;2002-12-18 15:33:28+00:00;CONCRETE;CIRCULAR;;City;27.50352159;Sandy Creek;PRIVATE
35730;33062-PS1;76A.1658-PS1;;;1.5;1.29999;;309.70001;15;;2007-04-19 11:15:20+00:00;CONCRETE;CIRCULAR;;City;27.5;New Hope Creek;PRIVATE
35749;47569-PP1;KLC.518-PP1;WOODRIDGE APTS/SEDGEFIELD;2.5;1.39999;1.29999;369.91;369.88;15;;2001-08-02 16:48:21+00:00;CONCRETE;CIRCULAR;0.092;City;32.47210803;Ellerbe Creek;PRIVATE
35761;38726-PS1;79C.437-PS1;;3.2;;1.29999;;;15;;2003-04-03 18:35:03+00:00;CONCRETE;CIRCULAR;;City;27.50697366;New Hope Creek;PRIVATE
2933;00359-PP1;111B.23-PP1;4603 MIAMI BD;4.69999;8.6;1.25;383.76;383.35;15;;2001-11-20 15:37:19+00:00;CONCRETE;CIRCULAR;0.853;City;48.05880669;Stirrup Iron Creek;PRIVATE
